id;type;loc_num;adresse;cp;commune;code_insee;longueur;largeur;lim_vitesse;sens;h_debut;h_fin;tonnage;geo_shape;geo_point_2d
92049070;LIVRAISON;DROIT;2 RUE SAINT AUBIN;92120;MONTROUGE;92049;5.0;0.0;50;DOUBLE;07:00;13:00;0.0;"{""coordinates"": [2.3260279222545632, 48.81938923990876], ""type"": ""Point""}";48.81938923990876,2.3260279222545632
92050006;LIVRAISON;DROIT;33 RUE SADI CARNOT;92000;NANTERRE;92050;9.0;0.0;50;UNIQUE;00:00;00:00;0.0;"{""coordinates"": [2.2031100899734892, 48.88922895825736], ""type"": ""Point""}";48.88922895825736,2.2031100899734892
92050011;LIVRAISON;DROIT;21 RUE HENRI BARBUSSE;92000;NANTERRE;92050;13.0;0.0;30;UNIQUE;00:00;00:00;0.0;"{""coordinates"": [2.1950850611972097, 48.89025181481192], ""type"": ""Point""}";48.89025181481192,2.1950850611972097
92050054;LIVRAISON;FACE;2 RUE DIDEROT;92000;NANTERRE;92050;10.0;0.0;30;UNIQUE;00:00;00:00;0.0;"{""coordinates"": [2.209730439083761, 48.88680053298447], ""type"": ""Point""}";48.88680053298447,2.209730439083761
92051002;LIVRAISON;DROIT;7 RUE DE L'EGLISE;92200;NEUILLY SUR SEINE;92051;8.0;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.263277511122299, 48.88528830392947], ""type"": ""Point""}";48.88528830392947,2.263277511122299
92051004;LIVRAISON;DROIT;108 RUE PERRONET;92200;NEUILLY SUR SEINE;92051;15.0;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.270476148394782, 48.887037799894024], ""type"": ""Point""}";48.887037799894024,2.270476148394782
92051008;LIVRAISON;DROIT;33 RUE MADELEINE MICHELIS;92200;NEUILLY SUR SEINE;92051;17.0;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.2774495455849757, 48.8830585378952], ""type"": ""Point""}";48.8830585378952,2.2774495455849757
92051011;LIVRAISON;DROIT;27 RUE DE CHARTRES;92200;NEUILLY SUR SEINE;92051;0.0;0.0;50;DOUBLE;07:00;15:00;0.0;"{""coordinates"": [2.2781122055880765, 48.88143434391562], ""type"": ""Point""}";48.88143434391562,2.2781122055880765
92051014;LIVRAISON;DROIT;65 AVENUE DU ROULLE;92200;NEUILLY SUR SEINE;92051;10.0;0.0;50;DOUBLE;07:00;15:00;0.0;"{""coordinates"": [2.2763634606889696, 48.88258116809669], ""type"": ""Point""}";48.88258116809669,2.2763634606889696
92051018;LIVRAISON;DROIT;28 RUE GARNIER;92200;NEUILLY SUR SEINE;92051;11.0;0.0;50;UNIQUE;07:00;15:00;0.0;"{""coordinates"": [2.257633674817178, 48.887151621383886], ""type"": ""Point""}";48.887151621383886,2.257633674817178
